chr	start	end	gene_symbol	exon	transcript_id
chr1	1043823	1044023	AGRN	10	NM_198576
chr1	1044109	1044257	AGRN	11	NM_198576
chr1	1044334	1044439	AGRN	12	NM_198576
chr1	1045161	1045277	AGRN	13	NM_198576
chr1	1045359	1045523	AGRN	14	NM_198576
chr1	1045733	1045876	AGRN	15	NM_198576
chr1	1045964	1046088	AGRN	16	NM_198576
chr1	1046160	1046265	AGRN	17	NM_198576
chr1	1046397	1046735	AGRN	18	NM_198576
chr1	1046820	1046957	AGRN	19	NM_198576
chr1	1047327	1047454	AGRN	20	NM_198576
chr1	1047573	1047687	AGRN	21	NM_198576
chr1	1047776	1047895	AGRN	22	NM_198576
chr1	1048012	1048365	AGRN	23	NM_198576
chr1	1048867	1049059	AGRN	24	NM_198576
chr1	1049236	1049451	AGRN	25	NM_198576
chr1	1049566	1049795	AGRN	26	NM_198576
chr1	1049903	1050037	AGRN	27	NM_198576
chr1	1050233	1050329	AGRN	28	NM_198576
chr1	1050427	1050591	AGRN	29	NM_198576
chr1	1050726	1050837	AGRN	30	NM_198576
chr1	1051253	1051369	AGRN	31	NM_198576
chr1	1051453	1051645	AGRN	32	NM_198576
chr1	1051728	1051815	AGRN	33	NM_198576
chr1	1053753	1053977	AGRN	34	NM_198576
chr1	1054448	1054551	AGRN	35	NM_198576
chr1	1054824	1056114	AGRN	36	NM_198576
chr1	1173880	1173926	TTLL10	1	NM_001130045
chr1	1174285	1174321	TTLL10	2	NM_001130045
chr1	1174424	1174489	TTLL10	3	NM_001130045
chr1	1179189	1179333	TTLL10	4	NM_001130045
chr1	1179657	1179737	TTLL10	5	NM_001130045
chr1	1180034	1180340	TTLL10	6	NM_001130045
chr1	1180483	1180601	TTLL10	7	NM_001130045
chr1	1180731	1180860	TTLL10	8	NM_001130045
chr1	1181741	1181815	TTLL10	9	NM_001130045
chr1	1182361	1182446	TTLL10	10	NM_001130045
chr1	1182876	1183047	TTLL10	11	NM_001130045
chr1	1183920	1184091	TTLL10	12	NM_001130045
chr1	1184969	1185109	TTLL10	13	NM_001130045
chr1	1196600	1196716	TTLL10	14	NM_001130045
chr1	1197093	1197186	TTLL10	15	NM_001130045
chr1	1197438	1197935	TTLL10	16	NM_001130045
chr1	1232237	1235040	B3GALT6	1	NM_080605
chr1	1280436	1280666	SCNN1D	1	NM_001130413
chr1	1281226	1281297	SCNN1D	2	NM_001130413
chr1	1281411	1281610	SCNN1D	3	NM_001130413
chr1	1282242	1282315	SCNN1D	4	NM_001130413
chr1	1283978	1284090	SCNN1D	5	NM_001130413
chr1	1285571	1285664	SCNN1D	6	NM_001130413
chr1	1285926	1286278	SCNN1D	7	NM_001130413
chr1	1286768	1286975	SCNN1D	8	NM_001130413
chr1	1287109	1287299	SCNN1D	9	NM_001130413
chr1	1287508	1287596	SCNN1D	10	NM_001130413
chr1	1287673	1287836	SCNN1D	11	NM_001130413
chr1	1287939	1288037	SCNN1D	12	NM_001130413
chr1	1290271	1290388	SCNN1D	13	NM_001130413
chr1	1290477	1290555	SCNN1D	14	NM_001130413
chr1	1290637	1290694	SCNN1D	15	NM_001130413
chr1	1290895	1290953	SCNN1D	16	NM_001130413
chr1	1291065	1291140	SCNN1D	17	NM_001130413
chr1	1291254	1292025	SCNN1D	18	NM_001130413
chr1	1308597	1308720	PUSL1	1	NM_153339
chr1	1308915	1308972	PUSL1	2	NM_153339
chr1	1309086	1309273	PUSL1	3	NM_153339
chr1	1309454	1309603	PUSL1	4	NM_153339
chr1	1309681	1309851	PUSL1	5	NM_153339
chr1	1310634	1310688	PUSL1	6	NM_153339
chr1	1310909	1311071	PUSL1	7	NM_153339
chr1	1311330	1311677	PUSL1	8	NM_153339
chr1	1324802	1325102	CPTP	1	NM_001029885
chr1	1326836	1327032	CPTP	2	NM_001029885
chr1	1327241	1328896	CPTP	3	NM_001029885
chr1	1331280	1331536	TAS1R3	1	NM_152228
chr1	1331638	1331938	TAS1R3	2	NM_152228
chr1	1332024	1332806	TAS1R3	3	NM_152228
chr1	1332921	1333124	TAS1R3	4	NM_152228
chr1	1333259	1333379	TAS1R3	5	NM_152228
chr1	1333506	1335314	TAS1R3	6	NM_152228
chr1	1426128	1426385	TMEM88B	1	NM_001146685
chr1	1427554	1427787	TMEM88B	2	NM_001146685
chr1	1435690	1435821	VWA1	1	NM_022834
chr1	1436927	1437484	VWA1	2	NM_022834
chr1	1439081	1442882	VWA1	3	NM_022834
chr1	1449689	1450758	ATAD3C	1	NM_001039211
chr1	1452046	1452122	ATAD3C	2	NM_001039211
chr1	1452365	1452434	ATAD3C	3	NM_001039211
chr1	1454345	1454500	ATAD3C	4	NM_001039211
chr1	1455460	1455519	ATAD3C	5	NM_001039211
chr1	1455791	1455916	ATAD3C	6	NM_001039211
chr1	1456225	1456349	ATAD3C	7	NM_001039211
chr1	1457129	1457180	ATAD3C	8	NM_001039211
chr1	1459161	1459231	ATAD3C	9	NM_001039211
chr1	1460750	1460917	ATAD3C	10	NM_001039211
chr1	1462600	1462708	ATAD3C	11	NM_001039211
chr1	1468384	1470162	ATAD3C	12	NM_001039211
chr1	1471765	1472089	ATAD3B	1	NM_031921
chr1	1477274	1477350	ATAD3B	2	NM_031921
chr1	1478644	1478745	ATAD3B	3	NM_031921
chr1	1479049	1479108	ATAD3B	4	NM_031921
chr1	1480867	1480936	ATAD3B	5	NM_031921
chr1	1482138	1482303	ATAD3B	6	NM_031921
chr1	1482545	1482614	ATAD3B	7	NM_031921
chr1	1485016	1485171	ATAD3B	8	NM_031921
chr1	1485782	1485838	ATAD3B	9	NM_031921
chr1	1486110	1486235	ATAD3B	10	NM_031921
chr1	1486544	1486668	ATAD3B	11	NM_031921
chr1	1487863	1487914	ATAD3B	12	NM_031921
chr1	1489204	1489274	ATAD3B	13	NM_031921
chr1	1490257	1490424	ATAD3B	14	NM_031921
chr1	1490563	1490671	ATAD3B	15	NM_031921
chr1	1495485	1497848	ATAD3B	16	NM_031921
chr1	1512162	1512473	ATAD3A	1	NM_001170535
chr1	1516012	1516088	ATAD3A	2	NM_001170535
chr1	1517311	1517412	ATAD3A	3	NM_001170535
chr1	1517716	1517775	ATAD3A	4	NM_001170535
chr1	1518921	1518990	ATAD3A	5	NM_001170535
chr1	1520141	1520306	ATAD3A	6	NM_001170535
chr1	1520548	1520617	ATAD3A	7	NM_001170535
chr1	1522744	1522899	ATAD3A	8	NM_001170535
chr1	1523511	1523567	ATAD3A	9	NM_001170535
chr1	1523839	1523964	ATAD3A	10	NM_001170535
chr1	1524273	1524397	ATAD3A	11	NM_001170535
chr1	1525240	1525291	ATAD3A	12	NM_001170535
chr1	1526461	1526531	ATAD3A	13	NM_001170535
chr1	1527695	1527862	ATAD3A	14	NM_001170535
chr1	1529223	1529331	ATAD3A	15	NM_001170535
chr1	1533926	1534685	ATAD3A	16	NM_001170535
chr1	1615500	1615633	MIB2	1	NM_001170687
chr1	1616508	1616614	MIB2	2	NM_001170687
chr1	1623431	1623699	MIB2	3	NM_001170687
chr1	1623774	1623945	MIB2	4	NM_001170687
chr1	1624795	1624901	MIB2	5	NM_001170687
chr1	1624991	1625185	MIB2	6	NM_001170687
chr1	1625286	1625428	MIB2	7	NM_001170687
chr1	1625546	1625653	MIB2	8	NM_001170687
chr1	1626650	1626754	MIB2	9	NM_001170687
chr1	1626837	1626999	MIB2	10	NM_001170687
chr1	1627074	1627207	MIB2	11	NM_001170687
chr1	1627296	1627444	MIB2	12	NM_001170687
chr1	1627673	1627829	MIB2	13	NM_001170687
chr1	1628019	1628179	MIB2	14	NM_001170687
chr1	1628273	1628399	MIB2	15	NM_001170687
chr1	1628489	1628722	MIB2	16	NM_001170687
chr1	1629133	1629311	MIB2	17	NM_001170687
chr1	1629385	1629566	MIB2	18	NM_001170687
chr1	1629639	1629704	MIB2	19	NM_001170687
chr1	1630292	1630605	MIB2	20	NM_001170687
chr1	1632173	1632374	MMP23B	1	NM_006983
chr1	1632783	1632913	MMP23B	2	NM_006983
chr1	1632981	1633120	MMP23B	3	NM_006983
chr1	1633188	1633355	MMP23B	4	NM_006983
chr1	1633748	1633912	MMP23B	5	NM_006983
chr1	1633989	1634099	MMP23B	6	NM_006983
chr1	1634202	1634328	MMP23B	7	NM_006983
chr1	1634451	1634654	MMP23B	8	NM_006983
chr1	1915260	1915307	CALML6	1	NM_138705
chr1	1915685	1915735	CALML6	2	NM_138705
chr1	1916441	1916615	CALML6	3	NM_138705
chr1	1916752	1916896	CALML6	4	NM_138705
chr1	1916974	1917074	CALML6	5	NM_138705
chr1	1917147	1917296	CALML6	6	NM_138705
chr1	2019345	2019491	GABRD	1	NM_000815
chr1	2024942	2025054	GABRD	2	NM_000815
chr1	2025334	2025401	GABRD	3	NM_000815
chr1	2025518	2025738	GABRD	4	NM_000815
chr1	2027577	2027659	GABRD	5	NM_000815
chr1	2028155	2028292	GABRD	6	NM_000815
chr1	2029111	2029266	GABRD	7	NM_000815
chr1	2029551	2029762	GABRD	8	NM_000815
chr1	2029983	2030758	GABRD	9	NM_000815
chr1	2050411	2050701	PRKCZ	1	NM_002744
chr1	2055441	2055562	PRKCZ	2	NM_002744
chr1	2056484	2056573	PRKCZ	3	NM_002744
chr1	2059541	2059591	PRKCZ	4	NM_002744
chr1	2135262	2135347	PRKCZ	5	NM_002744
chr1	2144210	2144341	PRKCZ	6	NM_002744
chr1	2146027	2146108	PRKCZ	7	NM_002744
chr1	2148872	2148924	PRKCZ	8	NM_002744
chr1	2150790	2150978	PRKCZ	9	NM_002744
chr1	2155995	2156092	PRKCZ	10	NM_002744
chr1	2169518	2169604	PRKCZ	11	NM_002744
chr1	2172055	2172190	PRKCZ	12	NM_002744
chr1	2172301	2172388	PRKCZ	13	NM_002744
chr1	2173897	2174016	PRKCZ	14	NM_002744
chr1	2174754	2174833	PRKCZ	15	NM_002744
chr1	2175224	2175313	PRKCZ	16	NM_002744
chr1	2184583	2184698	PRKCZ	17	NM_002744
chr1	2184922	2185395	PRKCZ	18	NM_002744
chr1	2228319	2229735	SKI	1	NM_003036
chr1	2302978	2303103	SKI	2	NM_003036
chr1	2303285	2303400	SKI	3	NM_003036
chr1	2303840	2304102	SKI	4	NM_003036
chr1	2304293	2304585	SKI	5	NM_003036
chr1	2306020	2306250	SKI	6	NM_003036
chr1	2306577	2310213	SKI	7	NM_003036
chr1	2391841	2391958	RER1	1	NM_007033
chr1	2395784	2395871	RER1	2	NM_007033
chr1	2397116	2397220	RER1	3	NM_007033
chr1	2399415	2399514	RER1	4	NM_007033
chr1	2400857	2400935	RER1	5	NM_007033
chr1	2402207	2402342	RER1	6	NM_007033
chr1	2403035	2405436	RER1	7	NM_007033
chr1	2476289	2476712	PLCH2	1	NM_014638
chr1	2478476	2478622	PLCH2	2	NM_014638
chr1	2479734	2479977	PLCH2	3	NM_014638
chr1	2480183	2480312	PLCH2	4	NM_014638
chr1	2484448	2484618	PLCH2	5	NM_014638
chr1	2486907	2487000	PLCH2	6	NM_014638
chr1	2487173	2487376	PLCH2	7	NM_014638
chr1	2487598	2487718	PLCH2	8	NM_014638
chr1	2489207	2489378	PLCH2	9	NM_014638
chr1	2489760	2489867	PLCH2	10	NM_014638
chr1	2491192	2491335	PLCH2	11	NM_014638
chr1	2494856	2494948	PLCH2	12	NM_014638
chr1	2495488	2495570	PLCH2	13	NM_014638
chr1	2496607	2496704	PLCH2	14	NM_014638
chr1	2496828	2497010	PLCH2	15	NM_014638
chr1	2497502	2497609	PLCH2	16	NM_014638
chr1	2498523	2498647	PLCH2	17	NM_014638
chr1	2498744	2498828	PLCH2	18	NM_014638
chr1	2499084	2499230	PLCH2	19	NM_014638
chr1	2499641	2499720	PLCH2	20	NM_014638
chr1	2502112	2502409	PLCH2	21	NM_014638
chr1	2503922	2505532	PLCH2	22	NM_014638
chr1	2556365	2556733	TNFRSF14	1	NM_003820
chr1	2557726	2557834	TNFRSF14	2	NM_003820
chr1	2558343	2558468	TNFRSF14	3	NM_003820
chr1	2559823	2559978	TNFRSF14	4	NM_003820
chr1	2560624	2560714	TNFRSF14	5	NM_003820
chr1	2561673	2561815	TNFRSF14	6	NM_003820
chr1	2562865	2562896	TNFRSF14	7	NM_003820
chr1	2563148	2565622	TNFRSF14	8	NM_003820
chr1	2586777	2586948	PRXL2B	1	NM_152371
chr1	2587091	2587295	PRXL2B	2	NM_152371
chr1	2587741	2587792	PRXL2B	3	NM_152371
chr1	2588390	2588453	PRXL2B	4	NM_152371
chr1	2588550	2588625	PRXL2B	5	NM_152371
chr1	2588922	2589040	PRXL2B	6	NM_152371
chr1	2589410	2591468	PRXL2B	7	NM_152371
chr1	3021467	3022903	ACTRT2	1	NM_080431
chr1	3069203	3069296	PRDM16	1	NM_022114
chr1	3186125	3186474	PRDM16	2	NM_022114
chr1	3244087	3244137	PRDM16	3	NM_022114
chr1	3385152	3385286	PRDM16	4	NM_022114
chr1	3396491	3396593	PRDM16	5	NM_022114
chr1	3402791	3402998	PRDM16	6	NM_022114
chr1	3404739	3404886	PRDM16	7	NM_022114
chr1	3405495	3405648	PRDM16	8	NM_022114
chr1	3411384	3412800	PRDM16	9	NM_022114
chr1	3414560	3414647	PRDM16	10	NM_022114
chr1	3417828	3417997	PRDM16	11	NM_022114
chr1	3418667	3418744	PRDM16	12	NM_022114
chr1	3425581	3425750	PRDM16	13	NM_022114
chr1	3426051	3426225	PRDM16	14	NM_022114
chr1	3430872	3431108	PRDM16	15	NM_022114
chr1	3431966	3432140	PRDM16	16	NM_022114
chr1	3433677	3438621	PRDM16	17	NM_022114
chr1	3454665	3454811	ARHGEF16	1	NM_014448
chr1	3463066	3463672	ARHGEF16	2	NM_014448
chr1	3466148	3466193	ARHGEF16	3	NM_014448
chr1	3467168	3467337	ARHGEF16	4	NM_014448
chr1	3468880	3468936	ARHGEF16	5	NM_014448
chr1	3469433	3469593	ARHGEF16	6	NM_014448
chr1	3473078	3473230	ARHGEF16	7	NM_014448
chr1	3473393	3473522	ARHGEF16	8	NM_014448
chr1	3474708	3474782	ARHGEF16	9	NM_014448
chr1	3475970	3476062	ARHGEF16	10	NM_014448
chr1	3477875	3478026	ARHGEF16	11	NM_014448
chr1	3478424	3478612	ARHGEF16	12	NM_014448
chr1	3479517	3479590	ARHGEF16	13	NM_014448
chr1	3479812	3479913	ARHGEF16	14	NM_014448
chr1	3480448	3481113	ARHGEF16	15	NM_014448
chr1	3625015	3625273	TPRG1L	1	NM_182752
chr1	3625424	3625515	TPRG1L	2	NM_182752
chr1	3625713	3625889	TPRG1L	3	NM_182752
chr1	3627500	3627653	TPRG1L	4	NM_182752
chr1	3628409	3630127	TPRG1L	5	NM_182752
chr1	3652516	3652641	TP73	1	NM_005427
chr1	3682333	3682430	TP73	2	NM_005427
chr1	3683060	3683180	TP73	3	NM_005427
chr1	3707549	3707791	TP73	4	NM_005427
chr1	3722021	3722207	TP73	5	NM_005427
chr1	3723354	3723469	TP73	6	NM_005427
chr1	3727115	3727224	TP73	7	NM_005427
chr1	3727628	3727770	TP73	8	NM_005427
chr1	3728129	3728217	TP73	9	NM_005427
chr1	3729327	3729448	TP73	10	NM_005427
chr1	3730000	3730148	TP73	11	NM_005427
chr1	3730927	3731065	TP73	12	NM_005427
chr1	3731463	3731556	TP73	13	NM_005427
chr1	3732747	3736201	TP73	14	NM_005427
chr1	3752450	3752799	CCDC27	1	NM_152492
chr1	3754118	3754241	CCDC27	2	NM_152492
chr1	3755457	3755567	CCDC27	3	NM_152492
chr1	3756733	3756890	CCDC27	4	NM_152492
chr1	3761281	3761430	CCDC27	5	NM_152492
chr1	3762620	3762712	CCDC27	6	NM_152492
chr1	3763108	3763474	CCDC27	7	NM_152492
chr1	3763706	3763836	CCDC27	8	NM_152492
chr1	3766535	3766612	CCDC27	9	NM_152492
chr1	3767233	3767445	CCDC27	10	NM_152492
chr1	3769783	3769887	CCDC27	11	NM_152492
chr1	3771401	3771645	CCDC27	12	NM_152492
chr1	3772749	3772788	SMIM1	1	NM_001288583
chr1	3773063	3773181	SMIM1	2	NM_001288583
chr1	3775299	3775483	SMIM1	3	NM_001288583
chr1	3775795	3775956	SMIM1	4	NM_001288583
chr1	3857476	3857717	DFFB	1	NM_004402
chr1	3858718	3858844	DFFB	2	NM_004402
chr1	3865812	3866000	DFFB	3	NM_004402
chr1	3867974	3868053	DFFB	4	NM_004402
chr1	3869605	3869775	DFFB	5	NM_004402
chr1	3872472	3872572	DFFB	6	NM_004402
chr1	3883507	3885429	DFFB	7	NM_004402
chr1	4654609	4655454	AJAP1	1	NM_018836
chr1	4711900	4712699	AJAP1	2	NM_018836
chr1	4769853	4769940	AJAP1	3	NM_018836
chr1	4772280	4772525	AJAP1	4	NM_018836
chr1	4774427	4774558	AJAP1	5	NM_018836
chr1	4782545	4792522	AJAP1	6	NM_018836
chr1	6045888	6046183	KCNAB2	1	NM_001199862
chr1	6051511	6051754	KCNAB2	2	NM_001199862
chr1	6072755	6072798	KCNAB2	3	NM_001199862
chr1	6073733	6073770	KCNAB2	4	NM_001199862
chr1	6082195	6082274	KCNAB2	5	NM_001199862
chr1	6085204	6085248	KCNAB2	6	NM_001199862
chr1	6087467	6087511	KCNAB2	7	NM_001199862
chr1	6089008	6089051	KCNAB2	8	NM_001199862
chr1	6090389	6090475	KCNAB2	9	NM_001199862
chr1	6091263	6091307	KCNAB2	10	NM_001199862
chr1	6094400	6094485	KCNAB2	11	NM_001199862
chr1	6095323	6095443	KCNAB2	12	NM_001199862
chr1	6095530	6095624	KCNAB2	13	NM_001199862
chr1	6096636	6096756	KCNAB2	14	NM_001199862
chr1	6097269	6097357	KCNAB2	15	NM_001199862
chr1	6098485	6101180	KCNAB2	16	NM_001199862
chr1	6206119	6206302	RNF207	1	NM_207396
chr1	6206536	6206726	RNF207	2	NM_207396
chr1	6207379	6207511	RNF207	3	NM_207396
chr1	6208881	6209025	RNF207	4	NM_207396
chr1	6209115	6209196	RNF207	5	NM_207396
chr1	6209268	6209343	RNF207	6	NM_207396
chr1	6209414	6209539	RNF207	7	NM_207396
chr1	6209924	6209970	RNF207	8	NM_207396
chr1	6210223	6210295	RNF207	9	NM_207396
chr1	6210370	6210438	RNF207	10	NM_207396
chr1	6210870	6210938	RNF207	11	NM_207396
chr1	6211021	6211118	RNF207	12	NM_207396
chr1	6211867	6212053	RNF207	13	NM_207396
chr1	6212231	6212416	RNF207	14	NM_207396
chr1	6212682	6212733	RNF207	15	NM_207396
chr1	6213066	6213183	RNF207	16	NM_207396
chr1	6218289	6218369	RNF207	17	NM_207396
chr1	6219236	6221299	RNF207	18	NM_207396
chr1	6244179	6244241	HES3	1	NM_001024598
chr1	6244351	6244446	HES3	2	NM_001024598
chr1	6244548	6244629	HES3	3	NM_001024598
chr1	6245110	6245578	HES3	4	NM_001024598
chr1	6424776	6425249	ESPN	1	NM_031475
chr1	6428226	6428419	ESPN	2	NM_031475
chr1	6440254	6440440	ESPN	3	NM_031475
chr1	6440626	6440808	ESPN	4	NM_031475
chr1	6440934	6441065	ESPN	5	NM_031475
chr1	6444481	6444682	ESPN	6	NM_031475
chr1	6445664	6445935	ESPN	7	NM_031475
chr1	6448641	6449091	ESPN	8	NM_031475
chr1	6451603	6451748	ESPN	9	NM_031475
chr1	6451833	6452096	ESPN	10	NM_031475
chr1	6457184	6457263	ESPN	11	NM_031475
chr1	6457361	6457372	ESPN	12	NM_031475
chr1	6459999	6460944	ESPN	13	NM_031475
chr1	6555307	6555564	TAS1R1	1	NM_138697
chr1	6570909	6571215	TAS1R1	2	NM_138697
chr1	6574631	6575392	TAS1R1	3	NM_138697
chr1	6576415	6576627	TAS1R1	4	NM_138697
chr1	6576950	6577070	TAS1R1	5	NM_138697
chr1	6578653	6579755	TAS1R1	6	NM_138697
chr1	6579994	6580136	ZBTB48	1	NM_005341
chr1	6580541	6581299	ZBTB48	2	NM_005341
chr1	6582058	6582299	ZBTB48	3	NM_005341
chr1	6585919	6586030	ZBTB48	4	NM_005341
chr1	6586695	6586787	ZBTB48	5	NM_005341
chr1	6587205	6587291	ZBTB48	6	NM_005341
chr1	6587478	6587632	ZBTB48	7	NM_005341
chr1	6588060	6588196	ZBTB48	8	NM_005341
chr1	6588278	6588442	ZBTB48	9	NM_005341
chr1	6588756	6588844	ZBTB48	10	NM_005341
chr1	6588916	6589280	ZBTB48	11	NM_005341
chr1	6613731	6614105	PHF13	1	NM_153812
chr1	6616757	6616858	PHF13	2	NM_153812
chr1	6619803	6620337	PHF13	3	NM_153812
chr1	6621411	6624030	PHF13	4	NM_153812
chr1	6624865	6624954	THAP3	1	NM_001195753
chr1	6625150	6625292	THAP3	2	NM_001195753
chr1	6628499	6628691	THAP3	3	NM_001195753
chr1	6630288	6630353	THAP3	4	NM_001195753
chr1	6632391	6632495	THAP3	5	NM_001195753
chr1	6632796	6633582	THAP3	6	NM_001195753
chr1	6785454	6785575	CAMTA1	1	NM_015215
chr1	6820181	6820250	CAMTA1	2	NM_015215
chr1	6825092	6825210	CAMTA1	3	NM_015215
chr1	7091304	7091371	CAMTA1	4	NM_015215
chr1	7249491	7249626	CAMTA1	5	NM_015215
chr1	7467830	7467901	CAMTA1	6	NM_015215
chr1	7640400	7640553	CAMTA1	7	NM_015215
chr1	7661726	7661866	CAMTA1	8	NM_015215
chr1	7663353	7665199	CAMTA1	9	NM_015215
chr1	7670911	7671037	CAMTA1	10	NM_015215
chr1	7677599	7677733	CAMTA1	11	NM_015215
chr1	7732448	7732599	CAMTA1	12	NM_015215
chr1	7736344	7736540	CAMTA1	13	NM_015215
chr1	7736931	7737009	CAMTA1	14	NM_015215
chr1	7737255	7737570	CAMTA1	15	NM_015215
chr1	7737959	7738482	CAMTA1	16	NM_015215
chr1	7744835	7745022	CAMTA1	17	NM_015215
chr1	7745845	7746091	CAMTA1	18	NM_015215
chr1	7747710	7747781	CAMTA1	19	NM_015215
chr1	7751199	7751392	CAMTA1	20	NM_015215
chr1	7752459	7752533	CAMTA1	21	NM_015215
chr1	7755638	7755668	CAMTA1	22	NM_015215
chr1	7766459	7769706	CAMTA1	23	NM_015215
chr1	7771296	7771385	VAMP3	1	NM_004781
chr1	7773442	7773511	VAMP3	2	NM_004781
chr1	7777160	7777318	VAMP3	3	NM_004781
chr1	7778118	7778169	VAMP3	4	NM_004781
chr1	7779626	7781432	VAMP3	5	NM_004781
chr1	7784291	7784376	PER3	1	NM_001377275
chr1	7784654	7785005	PER3	2	NM_001377275
chr1	7785441	7785586	PER3	3	NM_001377275
chr1	7786721	7786836	PER3	4	NM_001377275
chr1	7788045	7788246	PER3	5	NM_001377275
chr1	7793957	7794008	PER3	6	NM_001377275
chr1	7798525	7798673	PER3	7	NM_001377275
chr1	7801113	7801191	PER3	8	NM_001377275
chr1	7803047	7803153	PER3	9	NM_001377275
chr1	7803692	7803848	PER3	10	NM_001377275
chr1	7808893	7808998	PER3	11	NM_001377275
chr1	7809893	7810021	PER3	12	NM_001377275
chr1	7810438	7810588	PER3	13	NM_001377275
chr1	7819285	7819420	PER3	14	NM_001377275
chr1	7820115	7820239	PER3	15	NM_001377275
chr1	7820467	7820640	PER3	16	NM_001377275
chr1	7826480	7826710	PER3	17	NM_001377275
chr1	7827118	7827815	PER3	18	NM_001377275
chr1	7829834	7830161	PER3	19	NM_001377275
chr1	7835762	7835945	PER3	20	NM_001377275
chr1	7836999	7837149	PER3	21	NM_001377275
chr1	7842672	7845177	PER3	22	NM_001377275
chr1	7961711	7961793	PARK7	1	NM_007262
chr1	7962763	7962875	PARK7	2	NM_007262
chr1	7965324	7965425	PARK7	3	NM_007262
chr1	7969345	7969404	PARK7	4	NM_007262
chr1	7970894	7970963	PARK7	5	NM_007262
chr1	7977652	7977738	PARK7	6	NM_007262
chr1	7984894	7985505	PARK7	7	NM_007262
chr1	8318114	8318186	SLC45A1	1	NM_001080397
chr1	8324306	8324726	SLC45A1	2	NM_001080397
chr1	8325298	8325390	SLC45A1	3	NM_001080397
chr1	8325818	8326042	SLC45A1	4	NM_001080397
chr1	8330209	8330936	SLC45A1	5	NM_001080397
chr1	8335437	8335590	SLC45A1	6	NM_001080397
chr1	8337816	8337992	SLC45A1	7	NM_001080397
chr1	8339493	8339698	SLC45A1	8	NM_001080397
chr1	8343747	8344165	SLC45A1	9	NM_001080397
chr1	8945868	8945965	CA6	1	NM_001215
chr1	8949263	8949442	CA6	2	NM_001215
chr1	8957137	8957285	CA6	3	NM_001215
chr1	8958910	8959002	CA6	4	NM_001215
chr1	8962587	8962656	CA6	5	NM_001215
chr1	8967659	8967816	CA6	6	NM_001215
chr1	8970867	8970981	CA6	7	NM_001215
chr1	8974622	8975089	CA6	8	NM_001215
chr1	9234774	9235066	H6PD	1	NM_004285
chr1	9244925	9245561	H6PD	2	NM_004285
chr1	9246966	9247083	H6PD	3	NM_004285
chr1	9262059	9262328	H6PD	4	NM_004285
chr1	9263509	9271335	H6PD	5	NM_004285
chr1	9292894	9293071	SPSB1	1	NM_025106
chr1	9355743	9356585	SPSB1	2	NM_025106
